starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:20:56 2025	1753129256	1	24	25	17
Mon Jul 21 21:20:55 2025	1753129255	0	25	25	21
Mon Jul 21 21:20:56 2025	1753129256	0	25	25	25
Mon Jul 21 21:20:54 2025	1753129254	0	25	26	24
Mon Jul 21 21:20:54 2025	1753129254	1	25	26	22
Mon Jul 21 21:20:56 2025	1753129256	0	26	26	25
Mon Jul 21 21:20:55 2025	1753129255	0	26	26	25
Mon Jul 21 21:20:55 2025	1753129255	1	25	26	20
Mon Jul 21 21:20:54 2025	1753129254	0	25	26	25
Mon Jul 21 21:20:55 2025	1753129255	2	24	26	21
Mon Jul 21 21:20:54 2025	1753129254	3	23	26	23
Mon Jul 21 21:20:56 2025	1753129256	0	25	26	20
Mon Jul 21 21:20:56 2025	1753129256	1	25	26	23
Mon Jul 21 21:20:54 2025	1753129254	0	26	26	19
Mon Jul 21 21:20:55 2025	1753129255	2	24	26	24
Mon Jul 21 21:20:55 2025	1753129255	0	26	26	23
Mon Jul 21 21:20:55 2025	1753129255	1	25	26	20
Mon Jul 21 21:20:55 2025	1753129255	0	26	26	18
Mon Jul 21 21:20:55 2025	1753129255	1	25	26	20
Mon Jul 21 21:20:56 2025	1753129256	0	26	26	23
Mon Jul 21 21:20:55 2025	1753129255	0	26	26	17
Mon Jul 21 21:20:56 2025	1753129256	3	23	26	22
Mon Jul 21 21:20:56 2025	1753129256	0	26	26	24
Mon Jul 21 21:20:55 2025	1753129255	0	26	26	25
Mon Jul 21 21:20:56 2025	1753129256	1	25	26	23
Mon Jul 21 21:20:54 2025	1753129254	1	25	26	19
Mon Jul 21 21:20:56 2025	1753129256	0	26	26	25
Mon Jul 21 21:20:55 2025	1753129255	2	24	26	23
Mon Jul 21 21:20:56 2025	1753129256	1	25	26	22
Mon Jul 21 21:20:55 2025	1753129255	0	26	26	25
Mon Jul 21 21:20:55 2025	1753129255	0	26	26	24
Mon Jul 21 21:20:56 2025	1753129256	1	25	26	23
Mon Jul 21 21:20:54 2025	1753129254	0	26	26	21
Mon Jul 21 21:20:56 2025	1753129256	0	26	26	24
Mon Jul 21 21:20:54 2025	1753129254	1	25	26	23
Mon Jul 21 21:20:55 2025	1753129255	1	25	27	24
Mon Jul 21 21:20:54 2025	1753129254	5	22	27	20
Mon Jul 21 21:20:56 2025	1753129256	0	26	27	20
Mon Jul 21 21:20:55 2025	1753129255	0	26	27	24
Mon Jul 21 21:20:55 2025	1753129255	0	27	27	23
Mon Jul 21 21:20:56 2025	1753129256	2	25	27	21
Mon Jul 21 21:20:56 2025	1753129256	0	27	27	25
Mon Jul 21 21:20:55 2025	1753129255	0	27	27	17
Mon Jul 21 21:20:56 2025	1753129256	1	26	27	25
Mon Jul 21 21:20:54 2025	1753129254	1	26	27	24
Mon Jul 21 21:20:55 2025	1753129255	2	25	27	22
Mon Jul 21 21:20:55 2025	1753129255	2	25	27	23
Mon Jul 21 21:20:56 2025	1753129256	1	26	27	14
Mon Jul 21 21:20:56 2025	1753129256	0	27	27	22
Mon Jul 21 21:20:56 2025	1753129256	1	26	27	17
Mon Jul 21 21:20:54 2025	1753129254	0	27	27	19
Mon Jul 21 21:20:55 2025	1753129255	1	26	27	26
Mon Jul 21 21:20:55 2025	1753129255	0	27	27	20
Mon Jul 21 21:20:55 2025	1753129255	5	22	27	18
Mon Jul 21 21:20:54 2025	1753129254	1	26	27	23
Mon Jul 21 21:20:56 2025	1753129256	1	26	27	23
Mon Jul 21 21:20:54 2025	1753129254	0	27	27	26
Mon Jul 21 21:20:55 2025	1753129255	0	27	27	24
Mon Jul 21 21:20:54 2025	1753129254	0	27	27	26
