starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:05:21 2025	1753128321	31	379	410	363
Mon Jul 21 21:05:21 2025	1753128321	17	394	410	381
Mon Jul 21 21:05:21 2025	1753128321	31	380	411	376
Mon Jul 21 21:05:22 2025	1753128322	122	289	411	289
Mon Jul 21 21:05:21 2025	1753128321	31	380	411	376
Mon Jul 21 21:05:22 2025	1753128322	92	320	413	313
Mon Jul 21 21:05:21 2025	1753128321	31	382	413	377
Mon Jul 21 21:05:21 2025	1753128321	13	400	413	392
Mon Jul 21 21:05:21 2025	1753128321	31	382	413	376
Mon Jul 21 21:05:21 2025	1753128321	18	395	413	367
Mon Jul 21 21:05:21 2025	1753128321	14	399	413	392
Mon Jul 21 21:05:21 2025	1753128321	19	394	413	382
Mon Jul 21 21:05:22 2025	1753128322	90	323	414	315
Mon Jul 21 21:05:22 2025	1753128322	91	323	414	318
Mon Jul 21 21:05:21 2025	1753128321	31	383	414	376
Mon Jul 21 21:05:21 2025	1753128321	32	383	414	376
Mon Jul 21 21:05:21 2025	1753128321	17	397	415	393
Mon Jul 21 21:05:21 2025	1753128321	30	385	415	367
Mon Jul 21 21:05:21 2025	1753128321	31	384	415	375
Mon Jul 21 21:05:21 2025	1753128321	32	384	415	375
Mon Jul 21 21:05:22 2025	1753128322	91	324	415	322
Mon Jul 21 21:05:21 2025	1753128321	31	385	416	376
Mon Jul 21 21:05:21 2025	1753128321	17	401	418	393
Mon Jul 21 21:05:22 2025	1753128322	151	269	420	268
Mon Jul 21 21:05:21 2025	1753128321	18	401	420	393
Mon Jul 21 21:05:22 2025	1753128322	122	299	421	290
Mon Jul 21 21:05:22 2025	1753128322	0	421	421	421
Mon Jul 21 21:05:22 2025	1753128322	0	421	421	405
Mon Jul 21 21:05:22 2025	1753128322	37	385	422	200
Mon Jul 21 21:05:22 2025	1753128322	5	417	422	408
Mon Jul 21 21:05:22 2025	1753128322	123	299	422	298
Mon Jul 21 21:05:21 2025	1753128321	31	391	423	376
Mon Jul 21 21:05:22 2025	1753128322	64	359	423	357
Mon Jul 21 21:05:21 2025	1753128321	18	406	424	403
Mon Jul 21 21:05:21 2025	1753128321	18	407	424	395
Mon Jul 21 21:05:21 2025	1753128321	18	407	425	400
Mon Jul 21 21:05:22 2025	1753128322	91	335	426	334
Mon Jul 21 21:05:21 2025	1753128321	13	415	428	400
Mon Jul 21 21:05:22 2025	1753128322	91	339	430	336
Mon Jul 21 21:05:22 2025	1753128322	90	340	430	335
Mon Jul 21 21:05:22 2025	1753128322	91	340	431	339
Mon Jul 21 21:05:22 2025	1753128322	91	340	431	339
Mon Jul 21 21:05:22 2025	1753128322	35	396	431	396
Mon Jul 21 21:05:21 2025	1753128321	19	413	432	109
Mon Jul 21 21:05:22 2025	1753128322	91	342	432	340
Mon Jul 21 21:05:22 2025	1753128322	0	432	432	430
Mon Jul 21 21:05:22 2025	1753128322	92	342	433	333
Mon Jul 21 21:05:22 2025	1753128322	65	370	436	367
Mon Jul 21 21:05:22 2025	1753128322	91	345	436	343
Mon Jul 21 21:05:22 2025	1753128322	91	346	436	345
Mon Jul 21 21:05:21 2025	1753128321	31	409	440	408
Mon Jul 21 21:05:22 2025	1753128322	0	442	442	427
Mon Jul 21 21:05:21 2025	1753128321	31	412	443	394
Mon Jul 21 21:05:22 2025	1753128322	62	383	445	378
Mon Jul 21 21:05:22 2025	1753128322	212	234	446	202
Mon Jul 21 21:05:22 2025	1753128322	91	355	446	355
Mon Jul 21 21:05:21 2025	1753128321	18	429	447	405
Mon Jul 21 21:05:22 2025	1753128322	91	357	448	357
